economy,year,inflation_pct,gdp_usd,unemployment_pct,population,quarter,period
BRN,2022,3.68225030604215,16681536466.7183,5.191,455370.0,Q1,2022-Q1
BRN,2023,0.35706431153689,15095084656.1634,5.296,458949.0,Q1,2023-Q1
BRN,2024,-0.38867416503646,15340808592.48,5.18,462721.0,Q1,2024-Q1
IDN,2022,4.20946463714784,1319101183380.15,3.462,278830529.0,Q1,2022-Q1
IDN,2023,3.66938654859761,1371169301563.62,3.308,281190067.0,Q1,2023-Q1
IDN,2024,2.18151273615189,1396300098190.97,3.301,283487931.0,Q1,2024-Q1
KHM,2022,5.34370264895437,39994532959.6074,0.245,17201724.0,Q1,2022-Q1
KHM,2023,2.12746796594194,42335646895.7984,0.256,17423880.0,Q1,2023-Q1
KHM,2024,0.808042016536654,46352647037.2406,0.254,17638801.0,Q1,2024-Q1
LAO,2022,22.9562225132056,15468785203.7532,1.209,7559007.0,Q1,2022-Q1
LAO,2023,31.2301341732646,15843155731.2552,1.186,7664993.0,Q1,2023-Q1
LAO,2024,23.1305695942588,16502933121.3379,1.174,7769819.0,Q1,2024-Q1
MMR,2022,3.37869862549928,62253049903.28,3.063,53756787.0,Q1,2022-Q1
MMR,2023,3.37869862549928,66757619000.0,2.977,54133798.0,Q1,2023-Q1
MMR,2024,3.37869862549928,74068349523.8095,2.887,54500091.0,Q1,2024-Q1
MYS,2022,3.37869862549928,407830525989.553,3.93,34695493.0,Q1,2022-Q1
MYS,2023,2.48886560125754,399949418752.657,3.858,35126298.0,Q1,2023-Q1
MYS,2024,1.834100204499,422227005428.688,3.846,35557673.0,Q1,2024-Q1
PHL,2022,5.82115811213955,404353369604.631,2.598,113964338.0,Q1,2022-Q1
PHL,2023,5.97802515541409,437055627244.424,2.2,114891199.0,Q1,2023-Q1
PHL,2024,3.21260487006347,461617509782.355,2.202,115843670.0,Q1,2024-Q1
SGP,2022,6.13095418919732,509017841146.557,3.591,5637022.0,Q1,2022-Q1
SGP,2023,4.83372362825798,505439514078.019,3.444,5917648.0,Q1,2023-Q1
SGP,2024,2.38951123595017,547386645891.847,2.737,6036860.0,Q1,2024-Q1
THA,2022,-1.61068030486688,495644697587.661,0.94,71735329.0,Q1,2022-Q1
THA,2023,8.47805174421543,515906283940.933,0.733,71702435.0,Q1,2023-Q1
THA,2024,1.36580540798037,526517658841.684,0.781,71668011.0,Q1,2024-Q1
VNM,2022,3.15650749963129,413445230668.578,1.57,99680655.0,Q1,2022-Q1
VNM,2023,3.25289282667662,433857681378.291,1.645,100352192.0,Q1,2023-Q1
VNM,2024,3.62109273885843,476388230307.175,1.602,100987686.0,Q1,2024-Q1
