economy,series,YR2022,YR2023,YR2024
BRN,FP.CPI.TOTL.ZG,3.68225030604215,0.35706431153689,-0.38867416503646
BRN,NY.GDP.MKTP.CD,16681536466.7183,15095084656.1634,15340808592.48
BRN,SL.UEM.TOTL.ZS,5.191,5.296,5.18
BRN,SP.POP.TOTL,455370.0,458949.0,462721.0
IDN,FP.CPI.TOTL.ZG,4.20946463714784,3.66938654859761,2.18151273615189
IDN,NY.GDP.MKTP.CD,1319101183380.15,1371169301563.62,1396300098190.97
IDN,SL.UEM.TOTL.ZS,3.462,3.308,3.301
IDN,SP.POP.TOTL,278830529.0,281190067.0,283487931.0
KHM,FP.CPI.TOTL.ZG,5.34370264895437,2.12746796594194,0.808042016536654
KHM,NY.GDP.MKTP.CD,39994532959.6074,42335646895.7984,46352647037.2406
KHM,SL.UEM.TOTL.ZS,0.245,0.256,0.254
KHM,SP.POP.TOTL,17201724.0,17423880.0,17638801.0
LAO,FP.CPI.TOTL.ZG,22.9562225132056,31.2301341732646,23.1305695942588
LAO,NY.GDP.MKTP.CD,15468785203.7532,15843155731.2552,16502933121.3379
LAO,SL.UEM.TOTL.ZS,1.209,1.186,1.174
LAO,SP.POP.TOTL,7559007.0,7664993.0,7769819.0
MMR,FP.CPI.TOTL.ZG,,,
MMR,NY.GDP.MKTP.CD,62253049903.28,66757619000.0,74068349523.8095
MMR,SL.UEM.TOTL.ZS,3.063,2.977,2.887
MMR,SP.POP.TOTL,53756787.0,54133798.0,54500091.0
MYS,FP.CPI.TOTL.ZG,3.37869862549928,2.48886560125754,1.834100204499
MYS,NY.GDP.MKTP.CD,407830525989.553,399949418752.657,422227005428.688
MYS,SL.UEM.TOTL.ZS,3.93,3.858,3.846
MYS,SP.POP.TOTL,34695493.0,35126298.0,35557673.0
PHL,FP.CPI.TOTL.ZG,5.82115811213955,5.97802515541409,3.21260487006347
PHL,NY.GDP.MKTP.CD,404353369604.631,437055627244.424,461617509782.355
PHL,SL.UEM.TOTL.ZS,2.598,2.2,2.202
PHL,SP.POP.TOTL,113964338.0,114891199.0,115843670.0
SGP,FP.CPI.TOTL.ZG,6.13095418919732,4.83372362825798,2.38951123595017
SGP,NY.GDP.MKTP.CD,509017841146.557,505439514078.019,547386645891.847
SGP,SL.UEM.TOTL.ZS,3.591,3.444,2.737
SGP,SP.POP.TOTL,5637022.0,5917648.0,6036860.0
THA,FP.CPI.TOTL.ZG,-1.61068030486688,8.47805174421543,1.36580540798037
THA,NY.GDP.MKTP.CD,495644697587.661,515906283940.933,526517658841.684
THA,SL.UEM.TOTL.ZS,0.94,0.733,0.781
THA,SP.POP.TOTL,71735329.0,71702435.0,71668011.0
VNM,FP.CPI.TOTL.ZG,3.15650749963129,3.25289282667662,3.62109273885843
VNM,NY.GDP.MKTP.CD,413445230668.578,433857681378.291,476388230307.175
VNM,SL.UEM.TOTL.ZS,1.57,1.645,1.602
VNM,SP.POP.TOTL,99680655.0,100352192.0,100987686.0
